Id,"Uma frase diz: ""Grandes mudanças começam com pequenos passos."" que isso quer dizer?","""Quem aprende a ouvir, aprende a entender."" principal ensinamento dessa frase é:","Se uma história começa dizendo ""Num vilarejo distante, as pessoas trabalhavam juntas para vencer desafios"", qual é a mensagem principal?","""A curiosidade é o motor da descoberta."" Isso significa que:","Quando lemos: ""Nem todo herói usa capa"", entendemos que:",Um colega tem dificuldade para entender o conteúdo. Você:,"Se você discorda de alguém, o melhor a fazer é:","Se um colega for novo na turma, o que seria mais correto fazer?",Você vê alguém sofrendo bullying. A melhor atitude é:,Um amigo seu esqueceu o material em casa. Você:,"Se dois caminhos levam ao mesmo lugar, mas um é mais longo e perigoso, o que é mais lógico fazer?","Se você precisa entregar uma tarefa amanhã e ainda não começou, o melhor é:","Se uma lâmpada acende apenas às vezes, o que você deve pensar primeiro?","Se uma receita de bolo pede 2 ovos, mas você só tem 1, o que pode ser feito?",Você precisa decidir entre estudar para a prova ou sair com amigos. O que é mais responsável?,"Quando você erra em alguma coisa, a melhor atitude é:",A melhor forma de melhorar em algo que você não entende bem é:,Ter responsabilidade significa:,"Para conquistar um objetivo difícil, é importante:",O que é mais importante para crescer como pessoa?
41,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
42,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
43,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
44,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
45,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
46,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
47,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
48,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
49,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais perigoso para se aventurar.,Organizar o tempo e começar agora.,A casa está mal-assombrada.,Desistir de fazer o bolo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
50,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ignorar a pessoa.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
51,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Sair e estudar depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
52,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ignorar a pessoa.,Receber bem e apresentar aos outros.,Se afastar de todos.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Desistir de fazer o bolo.,Mentir para não sair.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
53,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
54,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
55,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
56,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Ignorar.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Mentir para não sair.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
57,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
58,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
59,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ignorar a pessoa.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
60,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
61,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Chama a coordenação.,Ignorar a pessoa.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Desistir de fazer o bolo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Esperar melhorar sozinho.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
62,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Sair e estudar depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
63,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
64,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Rir junto com outros colegas.,Insistir até vencer a discussão.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Reclama com ele.,Voltar para casa.,Reclamar da tarefa.,A casa está mal-assombrada.,Desistir de fazer o bolo.,Sair e estudar depois.,Aprender com o erro.,Reclamar da dificuldade.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
65,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
66,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
67,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
68,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,"Dizer que vai, mas não ir.
Autoconhecimento e Visão de Futuro (5 perguntas)",Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Copiar o que os outros fazem.,Aceitar erros e buscar melhorar.
69,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Voltar para casa.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Mentir para não sair.,Fingir que não errou.,Esperar melhorar sozinho.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
70,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Insistir até vencer a discussão.,Não conversar.,Fingir que não viu.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
71,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
72,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
73,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Finge que não viu.,Ignorar a pessoa.,Ignorar.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Desistir de fazer o bolo.,Priorizar o estudo e sair depois.,Fingir que não errou.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
74,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Ignorar.,Fingir que não viu.,Empresta o que puder.,Escolher o mais seguro e rápido.,Deixar para depois.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,"Dizer que vai, mas não ir.
Autoconhecimento e Visão de Futuro (5 perguntas)",Culpar os outros.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
75,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
76,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Voltar para casa.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
77,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,"Dizer que vai, mas não ir.
Autoconhecimento e Visão de Futuro (5 perguntas)",Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
78,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Rir junto com outros colegas.,Insistir até vencer a discussão.,Não conversar.,Fingir que não viu.,Deixa ele se virar.,Escolher o mais seguro e rápido.,Deixar para depois.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Sair e estudar depois.,Culpar os outros.,Reclamar da dificuldade.,Cuidar das suas ações e cumprir deveres.,Sonhar e esperar.,Aceitar erros e buscar melhorar.
79,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais perigoso para se aventurar.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
80,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Desistir de fazer o bolo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
81,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ignorar a pessoa.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
82,(E) Grandes mudanças não precisam de esforço.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,Descobrir é sorte.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
