Id,Qual tipo de pergunta da fase anterior te pareceu mais difícil?,As perguntas ajudaram você a pensar sobre como aprende?,"Quando você aprende algo novo e complicado, como costuma se sentir?","Quando precisa resolver atividades sozinho, você se sente:","Quando você erra uma resposta, o que pensa primeiro?",Como você prefere aprender?,Quanto tempo você consegue manter a atenção em uma atividade online?,Onde você costuma aprender melhor?,O que mais te ajuda quando você não entende algo?,Você aprende melhor com:,Você já usou algum robô ou IA para tirar dúvidas?,Como você gostaria que um sistema com chat automático te ajudasse?,Você acredita que pode aprender programação ou lógica se tiver apoio?,O que mais te motiva a continuar estudando?,O que faria um sistema de estudos ser ideal para você?
59,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
60,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
61,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Com medo de errar,( ) Ansioso(a),"( ) ""Não devia ter tentado""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, mas será difícil",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
62,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Curioso para entender,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
63,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Curioso para entender,( ) Inseguro(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando alguém me apoia,( ) Ser divertido e interativo
64,( ) Sobre interpretação de frases,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Tentar sozinho com calma,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
65,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Com medo de errar,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ter explicações simples
66,( ) Nenhuma foi difícil,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,"( ) Na escola, com colegas",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me dar desafios na medida certa
67,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,"( ) Na escola, com colegas",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando recebo elogios,( ) Ser divertido e interativo
68,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Animado pelo desafio,( ) Preparado(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,( ) Não tenho um lugar certo,( ) Tentar sozinho com calma,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando recebo elogios,( ) Ser divertido e interativo
69,( ) Nenhuma foi difícil,( ) Um pouco,( ) Animado pelo desafio,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,( ) Não tenho um lugar certo,( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
70,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Tentar sozinho com calma,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Me dar desafios na medida certa
71,( ) Sobre problemas do dia a dia,"( ) Sim, com certeza",( ) Animado pelo desafio,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) Menos de 5 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando alguém me apoia,( ) Ter explicações simples
72,( ) Sobre problemas do dia a dia,( ) Um pouco,( ) Com medo de errar,( ) Inseguro(a),"( ) ""Não devia ter tentado""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,( ) Não tenho um lugar certo,( ) Perguntar por mensagem ou chat,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Repetindo até eu entender,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me deixar estudar no meu ritmo
73,( ) Nenhuma foi difícil,( ) Um pouco,( ) Com medo de errar,( ) Ansioso(a),"( ) ""Não sou bom nisso""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, mas não gostei",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Me deixar estudar no meu ritmo
74,( ) Sobre problemas do dia a dia,"( ) Sim, com certeza",( ) Curioso para entender,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Imagens ou esquemas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando alguém me apoia,( ) Ter explicações simples
75,( ) Sobre problemas do dia a dia,( ) Não ajudaram,( ) Com medo de errar,( ) Inseguro(a),"( ) ""Não sou bom nisso""",( ) Com vídeos curtos explicando,( ) Menos de 5 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando alguém me apoia,( ) Ser divertido e interativo
76,( ) Sobre interpretação de frases,( ) Um pouco,( ) Desanimado,( ) Inseguro(a),"( ) ""Não sou bom nisso""",( ) Com vídeos curtos explicando,( ) Menos de 5 minutos,"( ) Em casa, no silêncio",( ) Perguntar por mensagem ou chat,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, mas será difícil",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
